sample_plate_index,Well
E01,B01
E02,B02
E03,B03
E04,B04
E05,B05
E06,B06
E07,B07
E08,B08
E09,B09
E10,B10
E11,B11
E12,B12
E01,C01
E02,C02
E03,C03
E04,C04
E05,C05
E06,C06
E07,C07
E08,C08
E09,C09
E10,C10
E11,C11
E12,C12
F01,D01
F02,D02
F03,D03
F04,D04
F05,D05
F06,D06
F07,D07
F08,D08
F09,D09
F10,D10
F11,D11
F12,D12
F01,E01
F02,E02
F03,E03
F04,E04
F05,E05
F06,E06
F07,E07
F08,E08
F09,E09
F10,E10
F11,E11
F12,E12
G01,F01
G02,F02
G03,F03
G04,F04
G05,F05
G06,F06
G07,F07
G08,F08
G09,F09
G10,F10
G11,F11
G12,F12
G01,G01
G02,G02
G03,G03
G04,G04
G05,G05
G06,G06
G07,G07
G08,G08
G09,G09
G10,G10
G11,G11
G12,G12
H01,H01
H02,H02
H03,H03
H04,H04
H05,H05
H06,H06
H07,H07
H08,H08
H09,H09
H10,H10
H11,H11
H12,H12